248;01280;Ordonnaz;1;141
249;01281;Ornex;1;3531
250;01282;Outriaz;1;256
251;01283;Oyonnax;1;22650
252;01284;Ozan;1;618
253;01285;Parcieux;1;1095
254;01286;Parves;1;360
255;01288;Péron;1;2143
256;01289;Péronnas;1;6054
257;01290;Pérouges;1;1204
258;01291;Perrex;1;826
259;01293;Peyriat;1;171
260;01294;Peyrieu;1;821
261;01295;Peyzieux-sur-Saône;1;473
262;01296;Pirajoux;1;360
263;01297;Pizay;1;777
264;01298;Plagne;1;129
265;01299;Le Plantay;1;540
266;01301;Polliat;1;2403
267;01302;Pollieu;1;157
268;01303;Poncin;1;1644
269;01304;Pont-d'Ain;1;2627
270;01305;Pont-de-Vaux;1;2205
271;01306;Pont-de-Veyle;1;1593
272;01307;Port;1;847
273;01308;Pougny;1;802
274;01309;Pouillat;1;88
275;01310;Prémeyzel;1;234
276;01311;Prémillieu;1;36
277;01313;Prévessin-Moëns;1;5980
278;01314;Priay;1;1488
279;01316;Pugieu;1;168
280;01317;Ramasse;1;250
281;01318;Rancé;1;641
282;01319;Relevant;1;466
283;01320;Replonges;1;3500
284;01321;Revonnas;1;788
285;01322;Reyrieux;1;4093
286;01323;Reyssouze;1;929
287;01325;Rignieux-le-Franc;1;950
288;01328;Romans;1;587
289;01329;Rossillon;1;148
290;01330;Ruffieu;1;202
291;01331;Saint-Alban;1;163
292;01332;Saint-André-de-Bâgé;1;635
293;01333;Saint-André-de-Corcy;1;2991
294;01334;Saint-André-d'Huiriat;1;543
295;01335;Saint-André-le-Bouchoux;1;316
296;01336;Saint-André-sur-Vieux-Jonc;1;1079
297;01337;Saint-Bénigne;1;1161
298;01338;Saint-Benoît;1;773
299;01339;Saint-Bernard;1;1375
300;01341;Saint-Champ;1;139
301;01342;Sainte-Croix;1;534
302;01343;Saint-Cyr-sur-Menthon;1;1636
303;01344;Saint-Denis-lès-Bourg;1;5405
304;01345;Saint-Denis-en-Bugey;1;2178
305;01346;Saint-Didier-d'Aussiat;1;863
306;01347;Saint-Didier-de-Formans;1;1792
307;01348;Saint-Didier-sur-Chalaronne;1;2776
308;01349;Saint-Éloi;1;399
309;01350;Saint-Étienne-du-Bois;1;2441
310;01351;Saint-Étienne-sur-Chalaronne;1;1468
311;01352;Saint-Étienne-sur-Reyssouze;1;531
312;01353;Sainte-Euphémie;1;1482
313;01354;Saint-Genis-Pouilly;1;8914
314;01355;Saint-Genis-sur-Menthon;1;408
315;01356;Saint-Georges-sur-Renon;1;197
316;01357;Saint-Germain-de-Joux;1;480
317;01358;Saint-Germain-les-Paroisses;1;387
318;01359;Saint-Germain-sur-Renon;1;236
319;01360;Saint-Jean-de-Gonville;1;1496
320;01361;Saint-Jean-de-Niost;1;1421
321;01362;Saint-Jean-de-Thurigneux;1;710
322;01363;Saint-Jean-le-Vieux;1;1609
323;01364;Saint-Jean-sur-Reyssouze;1;744
324;01365;Saint-Jean-sur-Veyle;1;1082
325;01366;Sainte-Julie;1;889
326;01367;Saint-Julien-sur-Reyssouze;1;668
327;01368;Saint-Julien-sur-Veyle;1;715
328;01369;Saint-Just;1;881
329;01370;Saint-Laurent-sur-Saône;1;1749
330;01371;Saint-Marcel;1;1212
331;01372;Saint-Martin-de-Bavel;1;443
332;01373;Saint-Martin-du-Frêne;1;1077
333;01374;Saint-Martin-du-Mont;1;1651
334;01375;Saint-Martin-le-Châtel;1;790
335;01376;Saint-Maurice-de-Beynost;1;3865
336;01378;Saint-Maurice-de-Gourdans;1;2498
337;01379;Saint-Maurice-de-Rémens;1;709
338;01380;Saint-Nizier-le-Bouchoux;1;703
339;01381;Saint-Nizier-le-Désert;1;880
340;01382;Sainte-Olive;1;303
341;01383;Saint-Paul-de-Varax;1;1551
342;01384;Saint-Rambert-en-Bugey;1;2164
343;01385;Saint-Rémy;1;906
344;01386;Saint-Sorlin-en-Bugey;1;1061
345;01387;Saint-Sulpice;1;142
346;01388;Saint-Trivier-de-Courtes;1;1013
347;01389;Saint-Trivier-sur-Moignans;1;1877
348;01390;Saint-Vulbas;1;957
349;01391;Salavre;1;284
350;01392;Samognat;1;718
351;01393;Sandrans;1;524
352;01396;Sault-Brénaz;1;1043
353;01397;Sauverny;1;1078
354;01398;Savigneux;1;1204
355;01399;Ségny;1;1649
356;01400;Seillonnaz;1;138
357;01401;Sergy;1;1977
358;01402;Sermoyer;1;669
359;01403;Serrières-de-Briord;1;1174
360;01404;Serrières-sur-Ain;1;119
361;01405;Servas;1;1184
362;01406;Servignat;1;160
363;01407;Seyssel;1;942
364;01408;Simandre-sur-Suran;1;650
